url,name
sankt-peterburg,Санкт-Петербург
moskva,Москва
adler,Адлер
anapa,Анапа
arhangelsk,Архангельск
astrahan,Астрахань
barnaul,Барнаул
belgorod,Белгород
blagoveshchensk,Благовещенск
bryansk,Брянск
velikiy-novgorod,Великий Новгород
vladivostok,Владивосток
vladikavkaz,Владикавказ
vladimir,Владимир
volgograd,Волгоград
volzhskiy,Волжский
vologda,Вологда
voronezh,Воронеж
vyborg,Выборг
ekaterinburg,Екатеринбург
ivanovo,Иваново
irkutsk,Иркутск
kazan,Казань
kaliningrad,Калининград
kaluga,Калуга
krasnodar,Краснодар
krasnoyarsk,Красноярск
kursk,Курск
lipeck,Липецк
magadan,Магадан
magnitogorsk,Магнитогорск
murmansk,Мурманск
naberezhnye-chelny,Набережные Челны
nalchik,Нальчик
nizhnevartovsk,Нижневартовск
nizhnekamsk,Нижнекамск
nizhniy-novgorod,Нижний Новгород
nizhniy-tagil,Нижний Тагил
novokuzneck,Новокузнецк
novorossiysk,Новороссийск
novosibirsk,Новосибирск
noyabrsk,Ноябрьск
omsk,Омск
orenburg,Оренбург
penza,Пенза
perm,Пермь
petrozavodsk,Петрозаводск
petropavlovsk-kamchatskiy,Петропавловск-Камчатский
pskov,Псков
pyatigorsk,Пятигорск
rostov-na-donu,Ростов-на-Дону
ryazan,Рязань
samara,Самара
saratov,Саратов
severodvinsk,Северодвинск
smolensk,Смоленск
sochi,Сочи
stavropol,Ставрополь
staryy-oskol,Старый Оскол
surgut,Сургут
syktyvkar,Сыктывкар
taganrog,Таганрог
tver,Тверь
tolyatti,Тольятти
tomsk,Томск
tula,Тула
tyumen,Тюмень
ulan-ude,Улан-Удэ
ulyanovsk,Ульяновск
ussuriysk,Уссурийск
ufa,Уфа
habarovsk,Хабаровск
cheboksary,Чебоксары
cherepovec,Череповец
cherkessk,Черкесск 
yuzhno-sahalinsk,Южно-Сахалинск
yakutsk,Якутск
yaroslavl,Ярославль
